ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a

1,210,210,5,0|100|0,200|100|0,200|150|0-200|50|0,50-50,8,x,1-1,1,0,2,0
2,210,210,5,0|100|0,200|100|0,200|150|0-200|50|0,50-50,8,x,1-1,-1,1,2,0

0,21,21,5,0|10|0,20|10|0,20|11|0-20|9|0,50-50,1,x,1-1,1,0,1,1

0,16,16,5,0|10|0,15|10|0,15|11|0-15|9|0,50-50,3,x,1-1,1,0,0,1
0,16,16,5,0|10|0,15|10|0,15|11|0-15|9|0,50-50,3,x,1-1,1,0,0,0

0,16,16,5,0|10|0,15|10|0,15|11|0-15|9|0,50-50,3,x,1-1,1,0,0,1
0,16,16,5,0|10|0,15|10|0,15|11|0-15|9|0,50-50,3,x,1-1,1,0,0,0

10,101,101,5,0|50|0,100|50|0,90|20|0-90|40|0-90|60|0-90|80|0,25-25-25-25,3,x,1-1-1-1,1,1,1,0


22,51,51,4,0|25|0,50|25|0,48|10|0-48|15|0-48|45|0,33-33-34,2,x,1-1-1,1,0,2,0
0,16,16,5,0|10|0,4|10|0,15|11|0-15|10|0,50-50,2,x,1-1,1,0,2,0


1,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,1,0
2,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,1,1
3,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,2,0
4,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,2,1
5,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,0,0
6,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,0,1,0,1
7,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,2,1
8,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,2,0
9,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,1,1
10,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,1,0
11,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,0,1
12,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,1,1,0,0
14,400,400,4,0|200|0,300|200|0,380|375|0-380|300|0-380|200|0-380|100|0-380|20|0,20-20-20-20-20,6,x,1-1-1-1-1,-1,0,1,0


6,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,0,1,0,0,5000,1234
6,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,0,1,5,0,1000,1234
7,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,1000,1234



ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
1,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,1,x,1-1-1,0,1,5,0,1000,10
2,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,1,x,1-1-1,1,1,2,0,1000,10
3,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,2,x,1-1-1,0,1,5,0,1000,10
4,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,2,x,1-1-1,1,1,2,0,1000,10
5,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,4,x,1-1-1,0,1,5,0,1000,10
6,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,4,x,1-1-1,1,1,2,0,1000,10
7,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,8,x,1-1-1,0,1,5,0,1000,10
8,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,8,x,1-1-1,1,1,2,0,1000,10
9,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,16,x,1-1-1,0,1,5,0,1000,10
10,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,16,x,1-1-1,1,1,2,0,1000,10
11,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,32,x,1-1-1,0,1,5,0,1000,10
12,400,200,5,0|100|0,399|100|0,370|50|0-370|100|0-370|150|0,34-33-33,32,x,1-1-1,1,1,2,0,1000,10


ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R,m,o,h,a,ep,seed
1,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
2,40,20,5,0|10|0,38|10|0,39|10|0-39|15|0-39|5|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
3,80,40,5,0|20|0,79|20|0,75|20|0-75|30|0-75|10|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
4,160,80,5,0|40|0,159|40|0,150|20|0-150|40|0-150|60|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
5,320,160,5,0|80|0,319|80|0,319|30|0-319|80|0-319|100|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
6,600,300,5,599|150|0,500|150|0,500|100|0-500|250|0-500|200|0,34-33-33,10,x,1-1-1,0,1,5,0,10000,10
7,800,400,5,0|400|0,799|200|0,750|300|0-750|200|0-750|250|0,34-33-33,8,x,1-1-1,1,1,2,0,10000,10
8,20,10,5,0|5|0,19|5|0,18|5|0-18|3|0-18|8|0,34-33-33,10,x,1-1-1,1,1,2,0,10000,10
